2026-05-02 14:07:32 | DEBUG    | cosmic_tool | CLI args: Namespace(docx='data\\闽市移需【202502】17639号64-关于和乐业务叠加态业务办理的需求（和乐业）项目需求说明书V1.0.0.docx', init_md='data\\拆分表.md', fill_md='', md='', template='', output='', api_key='', model='', show_tree=False, no_llm=False, init_config=False)
2026-05-02 14:07:32 | DEBUG    | cosmic_tool | API Key: 已设置, 端点: https://api.deepseek.com/anthropic, 模型: deepseek-v4-flash
2026-05-02 14:07:32 | INFO     | cosmic_tool | ============================================================
2026-05-02 14:07:32 | INFO     | cosmic_tool | 阶段1: 解析需求说明书 → 生成空白MD
2026-05-02 14:07:32 | INFO     | cosmic_tool | ============================================================
2026-05-02 14:07:32 | DEBUG    | cosmic_tool | --- section start ---
2026-05-02 14:07:32 | DEBUG    | cosmic_tool | 识别到 48 个模块
2026-05-02 14:07:32 | INFO     | cosmic_tool.md_handler | 空白MD已生成: data\拆分表.md
2026-05-02 14:07:32 | INFO     | cosmic_tool | 
下一步:
2026-05-02 14:07:32 | INFO     | cosmic_tool |   python -m cosmic_tool.main --fill-md data\拆分表.md
2026-05-02 14:07:58 | DEBUG    | cosmic_tool | CLI args: Namespace(docx='', init_md='', fill_md='data\\拆分表.md', md='', template='', output='', api_key='', model='', show_tree=False, no_llm=False, init_config=False)
2026-05-02 14:07:58 | DEBUG    | cosmic_tool | API Key: 已设置, 端点: https://api.deepseek.com/anthropic, 模型: deepseek-v4-flash
2026-05-02 14:07:58 | INFO     | cosmic_tool | ============================================================
2026-05-02 14:07:58 | INFO     | cosmic_tool | 阶段2: AI填充COSMIC数据到MD副本
2026-05-02 14:07:58 | INFO     | cosmic_tool | ============================================================
2026-05-02 14:07:58 | DEBUG    | cosmic_tool | --- section start ---
2026-05-02 14:07:58 | INFO     | cosmic_tool | 源文件: data\拆分表.md
2026-05-02 14:07:58 | INFO     | cosmic_tool | 副本文件: data\拆分表_已填充.md
2026-05-02 14:07:58 | DEBUG    | cosmic_tool | 模块数: 48
2026-05-02 14:07:58 | INFO     | cosmic_tool.md_handler | 从MD解析到 0 个功能过程
2026-05-02 14:07:58 | INFO     | cosmic_tool.md_handler | 正在AI填充 37 个模块的COSMIC数据...
2026-05-02 14:07:59 | INFO     | cosmic_tool.cosmic_llm | Generating COSMIC decompositions for 37 modules...
2026-05-02 14:07:59 | INFO     | cosmic_tool.cosmic_llm |   [1/37] 小福包专区 > 装修管理 > 基础配置...
2026-05-02 14:08:09 | INFO     | cosmic_tool.cosmic_llm |   [1/37] → 1 processes
2026-05-02 14:08:09 | INFO     | cosmic_tool.cosmic_llm |   [2/37] 小福包专区 > 装修管理 > 图片轮播组件...
2026-05-02 14:08:34 | INFO     | cosmic_tool.cosmic_llm |   [2/37] → 7 processes
2026-05-02 14:08:34 | INFO     | cosmic_tool.cosmic_llm |   [3/37] 小福包专区 > 装修管理 > 图片广告组件...
2026-05-02 14:08:54 | INFO     | cosmic_tool.cosmic_llm |   [3/37] → 4 processes
2026-05-02 14:08:54 | INFO     | cosmic_tool.cosmic_llm |   [4/37] 小福包专区 > 装修管理 > 小福包组件...
